timestamp, memory.used [MiB], memory.total [MiB]
2025/04/28 15:07:22.000, 358 MiB, 12282 MiB
2025/04/28 15:07:23.000, 358 MiB, 12282 MiB
2025/04/28 15:07:24.000, 358 MiB, 12282 MiB
2025/04/28 15:07:25.000, 358 MiB, 12282 MiB
2025/04/28 15:07:26.000, 358 MiB, 12282 MiB
2025/04/28 15:07:27.000, 358 MiB, 12282 MiB
2025/04/28 15:07:28.001, 358 MiB, 12282 MiB
2025/04/28 15:07:29.001, 358 MiB, 12282 MiB
2025/04/28 15:07:30.001, 358 MiB, 12282 MiB
2025/04/28 15:07:31.001, 358 MiB, 12282 MiB
2025/04/28 15:07:32.001, 358 MiB, 12282 MiB
2025/04/28 15:07:33.001, 358 MiB, 12282 MiB
2025/04/28 15:07:34.001, 358 MiB, 12282 MiB
2025/04/28 15:07:35.002, 358 MiB, 12282 MiB
2025/04/28 15:07:36.002, 358 MiB, 12282 MiB
2025/04/28 15:07:37.002, 358 MiB, 12282 MiB
2025/04/28 15:07:38.002, 358 MiB, 12282 MiB
2025/04/28 15:07:39.002, 358 MiB, 12282 MiB
2025/04/28 15:07:40.002, 358 MiB, 12282 MiB
2025/04/28 15:07:41.003, 358 MiB, 12282 MiB
2025/04/28 15:07:42.003, 358 MiB, 12282 MiB
2025/04/28 15:07:43.003, 358 MiB, 12282 MiB
2025/04/28 15:07:44.003, 358 MiB, 12282 MiB
2025/04/28 15:07:45.003, 358 MiB, 12282 MiB
2025/04/28 15:07:46.003, 358 MiB, 12282 MiB
2025/04/28 15:07:47.004, 358 MiB, 12282 MiB
2025/04/28 15:07:48.004, 358 MiB, 12282 MiB
2025/04/28 15:07:49.004, 358 MiB, 12282 MiB
2025/04/28 15:07:50.004, 358 MiB, 12282 MiB
2025/04/28 15:07:51.004, 358 MiB, 12282 MiB
2025/04/28 15:07:52.004, 358 MiB, 12282 MiB
2025/04/28 15:07:53.004, 358 MiB, 12282 MiB
2025/04/28 15:07:54.005, 358 MiB, 12282 MiB
2025/04/28 15:07:55.005, 358 MiB, 12282 MiB
2025/04/28 15:07:56.005, 358 MiB, 12282 MiB
2025/04/28 15:07:57.005, 358 MiB, 12282 MiB
2025/04/28 15:07:58.005, 358 MiB, 12282 MiB
2025/04/28 15:07:59.005, 358 MiB, 12282 MiB
2025/04/28 15:08:00.005, 358 MiB, 12282 MiB
2025/04/28 15:08:01.006, 358 MiB, 12282 MiB
2025/04/28 15:08:02.006, 358 MiB, 12282 MiB
2025/04/28 15:08:03.006, 358 MiB, 12282 MiB
2025/04/28 15:08:04.006, 358 MiB, 12282 MiB
2025/04/28 15:08:05.006, 358 MiB, 12282 MiB
2025/04/28 15:08:06.006, 358 MiB, 12282 MiB
2025/04/28 15:08:07.007, 358 MiB, 12282 MiB
2025/04/28 15:08:08.007, 358 MiB, 12282 MiB
2025/04/28 15:08:09.007, 358 MiB, 12282 MiB
2025/04/28 15:08:10.007, 358 MiB, 12282 MiB
2025/04/28 15:08:11.007, 358 MiB, 12282 MiB
2025/04/28 15:08:12.007, 358 MiB, 12282 MiB
2025/04/28 15:08:13.007, 358 MiB, 12282 MiB
2025/04/28 15:08:14.008, 358 MiB, 12282 MiB
2025/04/28 15:08:15.008, 358 MiB, 12282 MiB
2025/04/28 15:08:16.008, 358 MiB, 12282 MiB
2025/04/28 15:08:17.008, 358 MiB, 12282 MiB
2025/04/28 15:08:18.008, 358 MiB, 12282 MiB
2025/04/28 15:08:19.008, 358 MiB, 12282 MiB
2025/04/28 15:08:20.008, 358 MiB, 12282 MiB
2025/04/28 15:08:21.009, 358 MiB, 12282 MiB
2025/04/28 15:08:22.009, 358 MiB, 12282 MiB
2025/04/28 15:08:23.009, 358 MiB, 12282 MiB
2025/04/28 15:08:24.009, 358 MiB, 12282 MiB
2025/04/28 15:08:25.009, 358 MiB, 12282 MiB
2025/04/28 15:08:26.009, 358 MiB, 12282 MiB
2025/04/28 15:08:27.009, 358 MiB, 12282 MiB
2025/04/28 15:08:28.010, 358 MiB, 12282 MiB
2025/04/28 15:08:29.010, 358 MiB, 12282 MiB
2025/04/28 15:08:30.010, 358 MiB, 12282 MiB
2025/04/28 15:08:31.010, 358 MiB, 12282 MiB
2025/04/28 15:08:32.010, 358 MiB, 12282 MiB
2025/04/28 15:08:33.010, 358 MiB, 12282 MiB
2025/04/28 15:08:34.010, 358 MiB, 12282 MiB
2025/04/28 15:08:35.010, 358 MiB, 12282 MiB
2025/04/28 15:08:36.011, 358 MiB, 12282 MiB
2025/04/28 15:08:37.011, 358 MiB, 12282 MiB
2025/04/28 15:08:38.011, 358 MiB, 12282 MiB
2025/04/28 15:08:39.011, 358 MiB, 12282 MiB
2025/04/28 15:08:40.011, 358 MiB, 12282 MiB
2025/04/28 15:08:41.011, 358 MiB, 12282 MiB
2025/04/28 15:08:42.012, 358 MiB, 12282 MiB
2025/04/28 15:08:43.012, 358 MiB, 12282 MiB
2025/04/28 15:08:44.012, 358 MiB, 12282 MiB
2025/04/28 15:08:45.012, 358 MiB, 12282 MiB
2025/04/28 15:08:46.012, 358 MiB, 12282 MiB
2025/04/28 15:08:47.012, 358 MiB, 12282 MiB
2025/04/28 15:08:48.012, 358 MiB, 12282 MiB
2025/04/28 15:08:49.012, 358 MiB, 12282 MiB
2025/04/28 15:08:50.013, 358 MiB, 12282 MiB
2025/04/28 15:08:51.013, 358 MiB, 12282 MiB
2025/04/28 15:08:52.013, 358 MiB, 12282 MiB
2025/04/28 15:08:53.013, 358 MiB, 12282 MiB
2025/04/28 15:08:54.013, 358 MiB, 12282 MiB
2025/04/28 15:08:55.013, 358 MiB, 12282 MiB
2025/04/28 15:08:56.013, 358 MiB, 12282 MiB
2025/04/28 15:08:57.014, 358 MiB, 12282 MiB
2025/04/28 15:08:58.014, 358 MiB, 12282 MiB
2025/04/28 15:08:59.014, 358 MiB, 12282 MiB
2025/04/28 15:09:00.014, 358 MiB, 12282 MiB
2025/04/28 15:09:01.014, 358 MiB, 12282 MiB
2025/04/28 15:09:02.014, 358 MiB, 12282 MiB
2025/04/28 15:09:03.014, 358 MiB, 12282 MiB
2025/04/28 15:09:04.015, 358 MiB, 12282 MiB
2025/04/28 15:09:05.015, 358 MiB, 12282 MiB
2025/04/28 15:09:06.015, 358 MiB, 12282 MiB
2025/04/28 15:09:07.015, 358 MiB, 12282 MiB
2025/04/28 15:09:08.015, 358 MiB, 12282 MiB
2025/04/28 15:09:09.015, 358 MiB, 12282 MiB
2025/04/28 15:09:10.016, 358 MiB, 12282 MiB
2025/04/28 15:09:11.016, 358 MiB, 12282 MiB
2025/04/28 15:09:12.016, 358 MiB, 12282 MiB
2025/04/28 15:09:13.016, 358 MiB, 12282 MiB
2025/04/28 15:09:14.016, 358 MiB, 12282 MiB
2025/04/28 15:09:15.017, 358 MiB, 12282 MiB
2025/04/28 15:09:16.017, 358 MiB, 12282 MiB
2025/04/28 15:09:17.017, 358 MiB, 12282 MiB
2025/04/28 15:09:18.017, 358 MiB, 12282 MiB
2025/04/28 15:09:19.017, 358 MiB, 12282 MiB
2025/04/28 15:09:20.017, 358 MiB, 12282 MiB
2025/04/28 15:09:21.018, 158 MiB, 12282 MiB
2025/04/28 15:09:22.018, 258 MiB, 12282 MiB
2025/04/28 15:09:23.018, 356 MiB, 12282 MiB
2025/04/28 15:09:24.018, 358 MiB, 12282 MiB
2025/04/28 15:09:25.019, 1358 MiB, 12282 MiB
2025/04/28 15:09:26.019, 1854 MiB, 12282 MiB
2025/04/28 15:09:27.019, 1854 MiB, 12282 MiB
2025/04/28 15:09:28.019, 1854 MiB, 12282 MiB
2025/04/28 15:09:29.019, 1854 MiB, 12282 MiB
2025/04/28 15:09:30.020, 1854 MiB, 12282 MiB
2025/04/28 15:09:31.020, 1936 MiB, 12282 MiB
2025/04/28 15:09:32.020, 1936 MiB, 12282 MiB
2025/04/28 15:09:33.020, 1936 MiB, 12282 MiB
2025/04/28 15:09:34.021, 1936 MiB, 12282 MiB
2025/04/28 15:09:35.021, 1936 MiB, 12282 MiB
2025/04/28 15:09:36.021, 1936 MiB, 12282 MiB
2025/04/28 15:09:37.021, 158 MiB, 12282 MiB
2025/04/28 15:09:38.021, 258 MiB, 12282 MiB
2025/04/28 15:09:39.021, 358 MiB, 12282 MiB
2025/04/28 15:09:40.021, 358 MiB, 12282 MiB
2025/04/28 15:09:41.022, 436 MiB, 12282 MiB
2025/04/28 15:09:42.022, 434 MiB, 12282 MiB
2025/04/28 15:09:43.022, 169 MiB, 12282 MiB
2025/04/28 15:09:44.024, 258 MiB, 12282 MiB
2025/04/28 15:09:45.024, 358 MiB, 12282 MiB
2025/04/28 15:09:46.024, 360 MiB, 12282 MiB
2025/04/28 15:09:47.024, 450 MiB, 12282 MiB
2025/04/28 15:09:48.025, 450 MiB, 12282 MiB
2025/04/28 15:09:49.025, 596 MiB, 12282 MiB
2025/04/28 15:09:50.025, 596 MiB, 12282 MiB
2025/04/28 15:09:51.025, 596 MiB, 12282 MiB
2025/04/28 15:09:52.025, 596 MiB, 12282 MiB
2025/04/28 15:09:53.025, 596 MiB, 12282 MiB
2025/04/28 15:09:54.025, 596 MiB, 12282 MiB
2025/04/28 15:09:55.026, 596 MiB, 12282 MiB
2025/04/28 15:09:56.026, 596 MiB, 12282 MiB
2025/04/28 15:09:57.026, 596 MiB, 12282 MiB
2025/04/28 15:09:58.026, 596 MiB, 12282 MiB
2025/04/28 15:09:59.027, 596 MiB, 12282 MiB
2025/04/28 15:10:00.027, 596 MiB, 12282 MiB
2025/04/28 15:10:01.027, 596 MiB, 12282 MiB
2025/04/28 15:10:02.027, 596 MiB, 12282 MiB
2025/04/28 15:10:03.028, 596 MiB, 12282 MiB
2025/04/28 15:10:04.028, 158 MiB, 12282 MiB
2025/04/28 15:10:05.028, 258 MiB, 12282 MiB
2025/04/28 15:10:06.028, 358 MiB, 12282 MiB
2025/04/28 15:10:07.029, 358 MiB, 12282 MiB
2025/04/28 15:10:08.029, 358 MiB, 12282 MiB
2025/04/28 15:10:09.029, 358 MiB, 12282 MiB
2025/04/28 15:10:10.029, 358 MiB, 12282 MiB
2025/04/28 15:10:11.029, 358 MiB, 12282 MiB
2025/04/28 15:10:12.029, 358 MiB, 12282 MiB
2025/04/28 15:10:13.030, 358 MiB, 12282 MiB
2025/04/28 15:10:14.030, 358 MiB, 12282 MiB
2025/04/28 15:10:15.030, 358 MiB, 12282 MiB
2025/04/28 15:10:16.030, 358 MiB, 12282 MiB
2025/04/28 15:10:17.031, 258 MiB, 12282 MiB
2025/04/28 15:10:18.031, 256 MiB, 12282 MiB
2025/04/28 15:10:19.031, 258 MiB, 12282 MiB
2025/04/28 15:10:20.031, 358 MiB, 12282 MiB
